ID,OSAVI_mean,ATSAVI_mean,TVI_mean,CRI_2_mean,R_MCARI_MTVI2_mean,blue_mean,NPCI_mean,R_TCARI_OSAVI_mean,RERI_mean,rede_mean,MSAVI_mean,SAVI_mean,ARI_2_mean,TCARI_mean,TSAVI_mean,red_mean,NDRE_mean,RDVI_mean,NGRDI_mean,DVI_mean,NEXG_mean,MCARI_mean,RVI_1_mean,GNDVI_mean,RVI_2_mean,SPVI_mean,RECI_mean,NDWI_mean,EVI_mean,PSRI_mean,RGVI_mean,ENDVI_mean,EVI_2_mean,MTCI_mean,DATT_mean,GCI_mean,SAVI_2_mean,MCARI_2_mean,MTVI_2_mean,NDCI_mean,MCARI_1_mean,MTVI_1_mean,green_mean,NDVI_mean,SIPI_mean,SRPI_mean,nir_mean,HEALTH_STA
1,0.3777726,,21.77162,1.9622478,5.0845385,0.1827655,0.06523352,1.3917549,0.5130947,0.39971817,0.3928223,0.39745378,0.91032463,0.40867728,0.80609024,0.16286153,0.09191045,0.36889803,0.2229227,0.30880594,0.24435464,0.7179621,3.2337515,0.32103133,2.042208,0.36889842,0.21108767,0.062871344,0.29688314,0.14587194,0.71550745,0.3053086,0.41229826,inf,inf,1.0777975,25.63064,1.4857548,1.4857548,0.26188785,0.57195467,0.57195467,0.23371547,0.47506943,0.43137845,1.1821679,0.45833412,None
133,0.38483888,,21.856674,2.3196142,2.939998,0.13566484,0.116631836,1.2762874,0.4259128,0.36367872,0.40470782,0.408868,1.0948792,0.35251904,0.811965,0.17358576,0.11473272,0.3674225,0.17238666,0.32586017,0.2613939,0.58970153,3.1520104,0.37389076,2.3176541,0.43130952,0.26608285,0.037879057,0.22047769,0.23380622,0.86747295,0.4080148,0.42726728,inf,inf,1.3507206,16.917833,1.7518338,1.7518338,0.27909398,0.5591843,0.5591843,0.20381336,0.48012704,0.4948474,0.8233416,0.4636652,AVARAGE
207,0.43630448,,25.171024,2.4663212,40.911858,0.12919553,0.09852275,1.0638362,0.46028125,0.38438877,0.46365514,0.4653067,1.2483499,0.3847023,0.8223425,0.14732757,0.13357529,0.434937,0.20247069,0.37374523,0.29900396,0.7110062,3.8216732,0.4115958,2.5386264,0.48059094,0.3162967,0.057871953,0.26209825,0.1947583,0.7463232,0.4528871,0.4914337,inf,inf,1.5545192,25.453262,1.8775294,1.8775294,0.30208346,0.64538735,0.64538735,0.20451857,0.5423212,0.5556222,0.9117461,0.506748,None
237,0.38246834,,22.105824,2.431136,2.0694404,0.13792953,0.11061621,1.383599,0.42148292,0.36903864,0.4026125,0.40711027,1.108635,0.36559752,0.8118333,0.17254527,0.12048255,0.37113258,0.17513783,0.3275032,0.26657248,0.5792766,3.151735,0.37890062,2.3591342,0.4318426,0.27991718,0.05574365,0.22159928,0.21573813,0.867439,0.40884006,0.42506427,inf,inf,1.3738045,18.397726,1.8131644,1.8131644,0.27936444,0.5678657,0.5678657,0.20774463,0.47704726,0.499348,0.83600765,0.47472867,AVARAGE
209,0.41252598,,23.000128,2.9689698,2.5451007,0.12517242,0.10664242,0.99968565,0.45931402,0.37830785,0.43413562,0.4377134,1.393496,0.34205797,0.81599975,0.15203957,0.13023439,0.41041517,0.16917561,0.34891403,0.2631114,0.6643918,3.5818388,0.42722172,2.6608078,0.46428102,0.30973405,0.052293487,0.23622215,0.17261223,0.83651364,0.44395113,0.4594804,inf,inf,1.6699286,26.025303,1.7881836,1.7881836,0.3303374,0.58380336,0.58380336,0.18941188,0.51571184,0.5445799,0.85552764,0.48883405,AVARAGE
44,0.34755754,,20.146198,1.8209509,2.6973257,0.15501991,0.09982123,1.40829,0.39870098,0.36588058,0.36298975,0.36935174,0.83659303,0.37925127,0.7946935,0.1872757,0.108271435,0.3382974,0.16122407,0.29442412,0.24073958,0.46512252,2.7418468,0.32742175,2.0549538,0.37696698,0.247531,0.03771074,0.20955652,0.1972645,0.84236884,0.36656505,0.38052517,inf,inf,1.0713205,15.943735,1.5002273,1.5002273,0.23388486,0.52115875,0.52115875,0.22785099,0.43337545,0.45520875,0.8580326,0.45908508,AVARAGE
81,0.40334815,,22.697361,2.5162005,2.8442478,0.13698542,0.09300405,inf,0.49424464,0.38756794,0.4215578,0.42481464,1.164453,0.36617914,0.81778306,0.1537743,0.09215872,0.3899439,0.20385437,0.33237475,0.2858486,0.7370422,3.5170538,0.37439618,2.328552,0.42362076,0.20876534,0.06475821,0.24317881,0.16632558,0.761173,0.4101627,0.44459194,inf,inf,1.3624494,24.953432,1.6724291,1.6724291,0.30261627,0.58610886,0.58610886,0.20664966,0.50744367,0.5123764,0.9359362,0.46556717,None
83,0.39720887,,21.47722,2.660977,4.0761085,0.1385343,0.09059251,1.033916,0.47461355,0.36552912,0.41327775,0.416842,1.220918,0.339025,0.8104726,0.15426147,0.09796348,0.3763817,0.17715538,0.32143536,0.23604327,0.66413236,3.3832343,0.39041436,2.3942027,0.42252553,0.22317673,0.062041003,0.2409391,0.20987833,0.8276038,0.38912216,0.43462792,inf,inf,1.4535022,27.640722,1.4515768,1.4515768,0.3096437,0.5484477,0.5484477,0.19024725,0.5003536,0.5028472,0.9443547,0.44580576,AVARAGE
228,0.46562335,,26.576403,2.886188,2.6223593,0.13075475,0.076416604,inf,0.5037193,0.39294538,0.49555475,0.49489817,1.4337837,0.37271547,0.8356546,0.13443196,0.13206615,0.45887166,0.21782157,0.3949386,0.29512984,0.8554804,4.199078,0.43694794,2.6996348,0.5092769,0.31498176,0.055812925,0.29262552,0.23762086,0.7256815,0.44677734,0.5253264,inf,inf,1.7232839,35.63138,1.8555772,1.8555772,0.33614203,0.68043625,0.68043625,0.19388181,0.5808286,0.56940657,1.0058032,0.5106394,AVARAGE
216,0.38586485,,21.623932,2.3821833,2.6949396,0.13043846,0.12576665,inf,0.417026,0.3435525,0.4039777,0.4083395,1.1051854,0.3409328,0.81896734,0.16937909,0.12177294,0.35870835,0.17015609,0.32286015,0.2574802,0.5742857,3.1115558,0.37406692,2.3088536,0.42913055,0.2856603,0.039311722,0.21894588,0.2796374,0.8939594,0.4024461,0.4265593,inf,inf,1.3674887,18.44397,1.7494859,1.7494859,0.27620122,0.55316025,0.55316025,0.19522281,0.48318473,0.48543927,0.81238925,0.444425,AVARAGE
